titulo,url,data,adicoes,delecoes,tags
chore: bump orjson from 3.11.5 to 3.11.6 in /libs/partners/perplexity,https://github.com/langchain-ai/langchain/pull/35865,2026-03-14,78,78,"integration, infra, dependencies, perplexity, python:uv, internal, size: S"
chore: bump orjson from 3.11.5 to 3.11.6 in /libs/partners/mistralai,https://github.com/langchain-ai/langchain/pull/35864,2026-03-15,76,76,"integration, infra, dependencies, mistralai, python:uv, internal, size: S"
chore: bump orjson from 3.11.5 to 3.11.6 in /libs/partners/fireworks,https://github.com/langchain-ai/langchain/pull/35863,2026-03-16,78,78,"integration, infra, dependencies, fireworks, python:uv, internal, size: S"
chore: bump orjson from 3.11.5 to 3.11.6 in /libs/partners/xai,https://github.com/langchain-ai/langchain/pull/35862,2026-03-14,78,78,"integration, infra, dependencies, xai, python:uv, internal, size: S"
chore: bump orjson from 3.11.5 to 3.11.6 in /libs/partners/huggingface,https://github.com/langchain-ai/langchain/pull/35861,2026-03-14,78,78,"integration, infra, dependencies, huggingface, python:uv, internal, size: S"
chore: bump orjson from 3.11.5 to 3.11.6 in /libs/partners/openai,https://github.com/langchain-ai/langchain/pull/35860,2026-03-16,84,84,"integration, infra, dependencies, openai, python:uv, size: S"
chore: bump orjson from 3.11.5 to 3.11.6 in /libs/partners/nomic,https://github.com/langchain-ai/langchain/pull/35859,2026-03-15,81,81,"integration, infra, dependencies, nomic, python:uv, size: S"
chore: bump black from 25.9.0 to 26.3.1 in /libs/langchain,https://github.com/langchain-ai/langchain/pull/35858,2026-03-14,67,28,"infra, dependencies, langchain-classic, python:uv, internal, size: S"
chore: bump orjson from 3.11.5 to 3.11.6 in /libs/model-profiles,https://github.com/langchain-ai/langchain/pull/35857,2026-03-14,76,76,"infra, dependencies, model-profiles, python:uv, internal, size: S"
chore: bump orjson from 3.11.5 to 3.11.6 in /libs/text-splitters,https://github.com/langchain-ai/langchain/pull/35856,2026-03-17,77,77,"infra, text-splitters, dependencies, python:uv, internal, size: S"
fix(langchain-classic): format,https://github.com/langchain-ai/langchain/pull/35854,2026-03-14,1,1,"fix, langchain-classic, internal, size: XS"
perf(.github): set a timeout on get min versions HTTP calls,https://github.com/langchain-ai/langchain/pull/35851,2026-03-13,19,15,"integration, standard-tests, text-splitters, langchain-classic, anthropic, openai, performance, external, size: XS, missing-issue-link"
chore: housekeeping,https://github.com/langchain-ai/langchain/pull/35850,2026-03-13,0,6,"core, infra, langchain-classic, size: XS"
ci: cancel other CI runs when `require-issue-link` closes a PR,https://github.com/langchain-ai/langchain/pull/35849,2026-03-13,22,0,"infra, github_actions, internal, size: XS"
fix(anthropic): Ignore general usage cache_creation fields if more specific fields are set,https://github.com/langchain-ai/langchain/pull/35845,2026-03-14,136,1,"integration, fix, anthropic, internal, size: S"
release(mistralai): 1.1.2,https://github.com/langchain-ai/langchain/pull/35835,2026-03-13,5,5,"integration, release, dependencies, mistralai, internal, size: XS"
release(langchain): 1.0.3,https://github.com/langchain-ai/langchain/pull/35834,2026-03-13,6,6,"release, dependencies, langchain-classic, internal, size: XS"
release(core): 1.2.19,https://github.com/langchain-ai/langchain/pull/35832,2026-03-13,4,4,"core, dependencies, size: XS"
"fix(langchain,langchain-classic): update model provider classes for Azure AI Foundry",https://github.com/langchain-ai/langchain/pull/35812,2026-03-19,22,13,"langchain, fix, langchain-classic, external, size: XS, missing-issue-link"
feat: Add LangSmith integration metadata to create_agent and init_chat_model,https://github.com/langchain-ai/langchain/pull/35810,2026-03-18,40,11,"core, langchain, feature, internal, size: S"
chore(core): move BaseCrossEncoder to langchain-core,https://github.com/langchain-ai/langchain/pull/35809,2026-03-13,20,15,"core, infra, langchain-classic, internal"
chore: bump orjson from 3.11.5 to 3.11.6 in /libs/langchain_v1,https://github.com/langchain-ai/langchain/pull/35807,2026-03-14,77,82,"langchain, infra, dependencies, python:uv, internal, size: S"
chore: bump orjson from 3.11.5 to 3.11.6 in /libs/langchain,https://github.com/langchain-ai/langchain/pull/35806,2026-03-14,77,77,"infra, dependencies, langchain-classic, python:uv, internal, size: S"
chore: bump orjson from 3.11.5 to 3.11.6 in /libs/core,https://github.com/langchain-ai/langchain/pull/35805,2026-03-17,78,78,"core, infra, dependencies, python:uv, internal, size: S"
chore: bump orjson from 3.11.5 to 3.11.6 in /libs/standard-tests,https://github.com/langchain-ai/langchain/pull/35804,2026-03-14,76,76,"standard-tests, infra, dependencies, python:uv, internal, size: S"
chore: bump black from 25.11.0 to 26.3.1 in /libs/langchain_v1,https://github.com/langchain-ai/langchain/pull/35802,2026-03-14,66,36,"langchain, infra, dependencies, python:uv, internal, size: S"
chore: bump orjson from 3.11.5 to 3.11.6 in /libs/partners/qdrant,https://github.com/langchain-ai/langchain/pull/35801,2026-03-14,80,80,"integration, infra, dependencies, qdrant, python:uv, internal, size: S"
chore: bump orjson from 3.11.5 to 3.11.6 in /libs/partners/chroma,https://github.com/langchain-ai/langchain/pull/35800,2026-03-14,80,80,"integration, infra, dependencies, chroma, python:uv, internal, size: S"
refactor(xai): remove redundant `lc_attributes` override,https://github.com/langchain-ai/langchain/pull/35791,2026-03-12,0,13,"integration, refactor, xai, internal, size: XS"
feat(xai): support `base_url` alias and `XAI_API_BASE` env var,https://github.com/langchain-ai/langchain/pull/35790,2026-03-12,45,10,"integration, feature, deepseek, xai, size: S"
fix(deepseek): accept `base_url` as alias for `api_base`,https://github.com/langchain-ai/langchain/pull/35789,2026-03-12,22,9,"integration, fix, deepseek, internal, size: XS"
feat(model-profiles): new fields + `Makefile` target,https://github.com/langchain-ai/langchain/pull/35788,2026-03-12,2373,34,"integration, github_actions, model-profiles, anthropic, deepseek, fireworks, groq, huggingface, mistralai, openai"
chore(model-profiles): refresh model profile data,https://github.com/langchain-ai/langchain/pull/35784,2026-03-16,32,0,"integration, infra, openrouter, size: XS"
